address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan,latitude,longitude
Settergatan 14,7500000,4312.0,2023-04-12,71.0,3.0,1,0,0,1,1,0,0,0,0,0,59.3595979,18.0951922
Heimdalsgatan 5,14200000,4755.0,2023-04-12,103.0,5.0,1,0,0,1,0,0,0,0,0,1,59.34444,18.0477112
Bellmansgatan 21,10400000,3760.0,2023-04-12,83.0,3.0,0,0,0,1,0,0,0,0,1,0,59.31740860000001,18.0663328
Gumshornsgatan 7,3900000,1975.0,2023-04-12,28.5,1.0,1,0,0,1,0,0,0,1,0,0,59.3362564,18.0891897
Bondegatan 46,2750000,1206.0,2023-04-12,21.0,1.0,1,0,0,1,0,0,0,0,1,0,59.31327179999999,18.0832102
Artillerigatan 72B,6725000,3520.0,2023-04-12,66.0,3.0,1,0,0,1,0,0,0,1,0,0,59.3424337,18.0885739
Grubbensringen 9,5700000,5553.0,2023-04-12,72.0,2.0,1,0,0,0,0,1,0,0,0,0,59.333903,18.0424301
Igeldammsgatan 22 A,7975000,4558.0,2023-04-12,83.0,3.0,1,0,0,0,0,1,0,0,0,0,59.337215,18.0245656
Lilla Västerbron 10,7200000,4284.0,2023-04-12,85.5,3.0,0,0,0,1,0,1,0,0,0,0,59.3311633,18.0231786
Blecktornsstigen 9,8150000,4634.0,2023-04-12,75.0,3.0,0,0,0,0,0,0,0,0,1,0,59.3077079,18.0857204
Fridhemsgatan 55,5200000,1965.0,2023-04-12,43.0,2.0,1,0,0,1,0,1,0,0,0,0,59.33690360000001,18.0320173
Tomtebogatan 3A,5500000,1125.0,2023-04-12,40.0,2.0,1,0,0,1,0,0,0,0,0,1,59.34122259999999,18.036685
Pilgatan 26,8400000,5387.0,2023-04-12,73.0,3.0,1,0,0,1,0,1,0,0,0,0,59.3299154,18.0397826
Sankt eriksgatan 41,2950000,790.0,2023-04-12,27.0,1.0,1,1,0,0,0,1,0,0,0,0,59.33394060000001,18.0317478
Hälsingegatan 6,6000000,1903.0,2023-04-12,54.0,2.0,1,0,0,0,0,0,0,0,0,1,59.34364770000001,18.0418267
Folkungagatan 146 A,10000000,3988.0,2023-04-12,115.0,4.0,1,0,0,1,0,0,0,0,1,0,59.3155101,18.091147
Kungsklippan 12,3600000,2905.0,2023-04-11,36.0,2.0,1,0,0,1,0,1,0,0,0,0,59.33019580000001,18.0484427
Runiusgatan 5,8495000,4554.0,2023-04-11,107.0,4.0,1,0,0,1,0,1,0,0,0,0,59.32981210000001,18.0086768
Tomtebogatan 32,9150000,4606.0,2023-04-11,85.0,3.0,1,0,0,0,0,0,0,0,0,1,59.3418534,18.029545
Hagagatan 11,7000000,3268.0,2023-04-11,69.0,3.0,1,1,0,0,0,0,0,0,0,1,59.3447282,18.0518705
Tegelviksgatan 14,7725000,4748.0,2023-04-11,92.0,4.0,1,0,0,1,0,0,0,0,1,0,59.3115185,18.0984678
Skånegatan 57A,6400000,2431.0,2023-04-11,59.0,2.0,0,0,0,1,0,0,0,0,1,0,59.31248609999999,18.0787793
Robert Almströmsgatan 6,5975000,3780.0,2023-04-11,64.0,3.0,1,0,0,0,0,0,0,0,0,1,59.33878679999999,18.0337349
Grindsgatan 29,7300000,3880.0,2023-04-11,77.0,3.0,1,0,0,0,0,0,0,0,1,0,59.310051,18.0670581
