Location,Machine,Product,Category,MPrice,MQty,LineTotal,TransTotal
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,3.5,1,3.5,3.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,3.5,1,3.5,5.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,1.5,1,1.5,5.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,3.5,1,3.5,3.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Bai Antioxidant - Brasilia BB,Non Carbonated,2.5,1,2.5,2.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Miss Vickie's Potato Chip - Sea Salt & Vinega,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Miss Vickie's Potato Chip - Lime & Cracked Pe,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
Earle Asphalt,Earle Asphalt x1371,Seapoint Farms Dry Roasted Edamame - Wasabi,Food,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Snapple Diet Tea - Lemon,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Skinny Pop Popcorn,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Stretch Island Fruit Leathers Snacks - Variet,Food,1.0,1,1.0,1.0
Earle Asphalt,Earle Asphalt x1371,KitKat - Crisp Wafers,Food,1.75,1,1.75,1.75
GuttenPlans,GuttenPlans x1367,Skinny Pop Popcorn,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Snapple Diet Tea - Lemon,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Spindrift - Sparkling Water  Lime,Carbonated,1.0,1,1.0,1.0
GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt Original,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,KitKat - Crisp Wafers,Food,2.0,2,4.0,4.0
GuttenPlans,GuttenPlans x1367,Jacks Links Bar Beef Strip,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Vitamin Water - XXX Acai BB Pomegranate,Water,2.75,1,2.75,2.75
GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Spindrift - Sparkling Water  Lime,Carbonated,1.0,1,1.0,1.0
GuttenPlans,GuttenPlans x1367,Spindrift - Sparkling Water  Lime,Carbonated,1.0,1,1.0,1.0
GuttenPlans,GuttenPlans x1367,Pure Organic Fruit Bar - Strawberry Banana,Food,1.0,1,1.0,1.0
GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Oreo Mini,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Nutter Butter Bites,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Jack Links Beef Steak Original,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Skinny Pop Popcorn,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Good Health Veggie Stix - Zesty Ranch,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Pure Organic Fruit Bar - Strawberry Banana,Food,1.0,1,1.0,1.0
GuttenPlans,GuttenPlans x1367,Nutter Butter Bites,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Pure Organic Fruit Bar - Strawberry Banana,Food,1.0,1,1.0,1.0
GuttenPlans,GuttenPlans x1367,Cheetos Baked - Flaming Hot,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Snapple Diet Tea - Lemon,Non Carbonated,2.5,1,2.5,2.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,S. Pellegrino Sparkling Mineral Water,Water,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Mini Chips Ahoy,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos Baked - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Newtons Fig Bar,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1364 - Zales,SunChips Multigrain - Salsa,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Bai Antioxidant - Brasilia BB,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Cheetos Baked - Flaming Hot,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Snapple Diet Tea - Lemon,Non Carbonated,2.5,1,2.5,2.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Bubly - Grapefruit,Water,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Poland Springs Water,Water,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Oreo Mini,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Oreo Mini,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Takis - Hot Chilli Pepper & Lime,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Takis - Hot Chilli Pepper & Lime,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Chum Fruit Bites - Mango/Strawberry,Food,1.25,1,1.25,1.25
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Zevia Zero Calorie Energy - Mango Ginger,Non Carbonated,2.5,1,2.5,2.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Poland Springs Water,Water,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,V8 Vegetable Juice - Original,Non Carbonated,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,BodyArmor LYTE  - Peach Mango,Water,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Good Health Veggie Stix - Sea Salt,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Snapple Diet Tea - Peach Tea,Non Carbonated,2.5,1,2.5,2.5
Earle Asphalt,Earle Asphalt x1371,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Keto Krisp - Almond/Chocolate,Carbonated,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,1.5,1,1.5,1.5
